"Id","DeveloperName","NamespacePrefix","SobjectType"
"012g8000000rPBZAA2","LSC_Marketing_Item","#N/A","Product2"
"012g8000000rPBaAAM","LSC_Sample","#N/A","Product2"
"012g8000000rPBbAAM","LSDO_MedTech_Order","#N/A","Product2"
"012g8000000rPBcAAM","SDO_Service_Case","#N/A","Case"
"012g8000000rPBdAAM","SDO_Account_Partner","#N/A","Account"
"012g8000000rPBeAAM","SDO_Lead_DealRegistration","#N/A","Lead"
"012g8000000rPBfAAM","SimpleOpportunity","#N/A","Opportunity"
"012g8000000rPBgAAM","SDO_Lead_Default","#N/A","Lead"
"012g8000000rPBhAAM","SDO_Contact","#N/A","Contact"
"012g8000000rPBiAAM","SDO_Partner_Contact","#N/A","Contact"
"012g8000000rPBjAAM","Lead_Partner_Application","#N/A","Lead"
"012g8000000rPBkAAM","ChannelPartner","#N/A","Opportunity"
"012g8000000rPBlAAM","LSDO_MedTech_Opportunity","#N/A","Opportunity"
"012g8000000rPBmAAM","LSDO_Healthcare_Organization","#N/A","Account"
"012g8000000rPBnAAM","LSDO_Healthcare_Provider","#N/A","Account"
"012g8000000rPBoAAM","SDO_Account_Simple","#N/A","Account"
"012g8000000rPBpAAM","SDO_PersonAccounts","#N/A","Account"
"012g8000000rPBqAAM","PersonAccount","#N/A","Account"
"012g8000000rPBrAAM","Business_Account","#N/A","Account"
"012g8000000rPBsAAM","HLS_Account_HealthCareFacility","#N/A","Account"
"012g8000000rPBtAAM","PMT_Project","inov8","Case"
"012g8000000rPBuAAM","Sales","#N/A","Account"
"012g8000000rPBvAAM","LSDO_MedTech_Order","#N/A","Order"
"012g8000000rPBwAAM","LSDO_Ph_Visit","#N/A","Visit"
"012g8000000rPBxAAM","LSDO_MedTech_Visit","#N/A","ProviderVisit"
"012g8000000rPByAAM","LSDO_MT_Visit","#N/A","Visit"
"012g8000000rPBzAAM","LSDO_Ph_Visit","#N/A","ProviderVisit"
"012g8000000rPC0AAM","Report","#N/A","ProviderVisit"
"012g8000000rPC1AAM","LSDO_Adverse_Event","#N/A","Inquiry"
"012g8000000rPC2AAM","LSC_General","#N/A","Inquiry"
"012g8000000rPC3AAM","LSDO_Medical_Inquiry","#N/A","Inquiry"
"012g8000000rPC4AAM","Health_Care_Organization","#N/A","ProviderAcctTerritoryInfo"
"012g8000000rPC5AAM","Health_Care_Provider","#N/A","ProviderAcctTerritoryInfo"
"012g8000000rPC6AAM","LSDO_PH_Event","#N/A","Event"
"012g8000000rPC7AAM","LSDO_MedTech_Task","#N/A","Task"
"012g8000000rPC8AAM","LSDO_MT_Account_Plan","#N/A","AccountPlan"
"012g8000000rPC9AAM","Gap_Rule_Service","FSL","FSL__Work_Rule_Entry__c"
"012g8000000rPCAAA2","LSDO_Medical_Inquiry","#N/A","Case"
"012g8000000rPCBAA2","Category","#N/A","LoyaltyTierGroup"
"012g8000000rPCCAA2","SDO_Fulfillment_Orders","#N/A","FulfillmentOrder"
"012g8000000rPCDAA2","SDO_Store_Pickup","#N/A","FulfillmentOrder"
"012g8000000rPCEAA2","SDO_Order_Business","#N/A","Order"
"012g8000000rPCFAA2","SDO_Order_Consumer","#N/A","Order"
"012g8000000rPCGAA2","Partner_Led_Campaign","#N/A","Campaign"
"012g8000000rPCHAA2","SDO_Marketing_ChildCampaign","#N/A","Campaign"
"012g8000000rPCIAA2","Exercise","#N/A","CGC_Milestone_and_Exercise__c"
"012g8000000rPCJAA2","Milestone","#N/A","CGC_Milestone_and_Exercise__c"
"012g8000000rPCKAA2","SDO_Knowledge_Cirrus","#N/A","Knowledge__kav"
"012g8000000rPCLAA2","SDO_Knowledge_FAQ","#N/A","Knowledge__kav"
"012g8000000rPCMAA2","SDO_Knowledge_KCSArticle","#N/A","Knowledge__kav"
"012g8000000rPCNAA2","Break","FSL","ResourceAbsence"
"012g8000000rPCOAA2","Non_Availability","FSL","ResourceAbsence"
"012g8000000rPCQAA2","LSDO_MT_Event","#N/A","Event"
"012g8000000rPCRAA2","SDO_SFS_Case","#N/A","Case"
"012g8000000rPCXAA2","LSDO_TerritoryProdtQtyAllocation","#N/A","TerritoryProdtQtyAllocation"
"012g8000000rPCYAA2","LSDO_TimePeriod","#N/A","TimePeriod"
"012g8000000rPCiAAM","Product_Feedback","#N/A","ProviderVisitProdDiscussion"
"012g8000000rPCjAAM","Patient_Tracking","#N/A","ProviderVisitProdDiscussion"
"012g8000000rPCkAAM","CC_Calendar_Event","cccalendar","Event"
"012g8000000rPClAAM","Objective_Minimize_Gaps","FSL","FSL__Service_Goal__c"
"012g8000000rPCmAAM","Objective_Minimize_Travel","FSL","FSL__Service_Goal__c"
"012g8000000rPCnAAM","Objective_Asap","FSL","FSL__Service_Goal__c"
"012g8000000rPCoAAM","Objective_PreferredEngineer","FSL","FSL__Service_Goal__c"
"012g8000000rPCpAAM","Objective_Resource_Priority","FSL","FSL__Service_Goal__c"
"012g8000000rPCqAAM","Objective_Minimize_Overtime","FSL","FSL__Service_Goal__c"
"012g8000000rPCrAAM","Objective_Custom_Logic","FSL","FSL__Service_Goal__c"
"012g8000000rPCsAAM","Time_Rule_Service","FSL","FSL__Work_Rule__c"
"012g8000000rPCtAAM","TimeSlot_Designated_Work","FSL","FSL__Work_Rule__c"
"012g8000000rPCuAAM","Match_Location_Service","FSL","FSL__Work_Rule__c"
