"Id","Name","External_ID__c","Type","RecordTypeId","RecordType.$$DeveloperName$NamespacePrefix$SobjectType"
"001g800000EECNpAAP","Abbott Northwestern Hospital","LS.MT.Account.004","Hospital","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g8000007pWFbAAM","Acme Healthcare","LS.Account.2","Prospect","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g8000007pWG0AAM","Allina Health IDN","LS.MT.Account.002","IDN","012g8000000wkiPAAQ","LSDO_IDN;Account"
"001g8000007pWFcAAM","Brigham City Community Health System","LS.Account.75","#N/A","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g8000007pWFdAAM","Brigham City Community Hospital","LS.Account.66","#N/A","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g800000EECNvAAP","Elena Torres","LS.MT.Account.010","#N/A","012g8000000rPBnAAM","LSDO_Healthcare_Provider;Account"
"001g800000EECNuAAP","James Park","LS.MT.Account.009","#N/A","012g8000000rPBnAAM","LSDO_Healthcare_Provider;Account"
"001g800000EECNsAAP","Marcus Chen","LS.MT.Account.007","#N/A","012g8000000rPBnAAM","LSDO_Healthcare_Provider;Account"
"001g800000EECNqAAP","Mercy Hospital","LS.MT.Account.005","Hospital","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g800000EECNwAAP","Omar Hassan","LS.MT.Account.011","#N/A","012g8000000rPBnAAM","LSDO_Healthcare_Provider;Account"
"001g8000007on0CAAQ","Rachel Shell","LS.Account.17","#N/A","012g8000000rPBnAAM","LSDO_Healthcare_Provider;Account"
"001g8000007pWFeAAM","Santa Clarita Hospital","LS.Account.71","#N/A","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g800000EECNtAAP","Sofia Reyes","LS.MT.Account.008","#N/A","012g8000000rPBnAAM","LSDO_Healthcare_Provider;Account"
"001g800000EECNrAAP","United Heart and Vascular Clinic","LS.MT.Account.006","Clinic","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g8000007pWFaAAM","United Hospital","LS.MT.Account.001","Primary Care Organization","012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"001g8000008ya1CAAQ","Vizient GPO","LS.MT.Account.003","GPO","012g8000000y8fRAAQ","LSDO_GPO;Account"
