"Id","ObjectId","Territory2Id","Object.External_ID__c","Territory2.External_ID__c"
"0JBg800000001LxGAI","001g8000007on0CAAQ","0MIg80000001ibhGAA","LS.Account.17","LS.MT.Territory2.003"
"0JBg800000001LtGAI","001g8000007pWFaAAM","0MIg80000001ibhGAA","LS.MT.Account.001","LS.MT.Territory2.003"
"0JBg800000001LuGAI","001g8000007pWFbAAM","0MIg80000001ibhGAA","LS.Account.2","LS.MT.Territory2.003"
"0JBg800000001LvGAI","001g8000007pWFcAAM","0MIg80000001ibhGAA","LS.Account.75","LS.MT.Territory2.003"
"0JBg800000001LwGAI","001g8000007pWFdAAM","0MIg80000001ibhGAA","LS.Account.66","LS.MT.Territory2.003"
"0JBg800000001LyGAI","001g8000007pWFeAAM","0MIg80000001ibhGAA","LS.Account.71","LS.MT.Territory2.003"
"0JBg800000001ybGAA","001g8000007pWG0AAM","0MIg80000001ibhGAA","LS.MT.Account.002","LS.MT.Territory2.003"
"0JBg8000000020DGAQ","001g8000008ya1CAAQ","0MIg80000001ibhGAA","LS.MT.Account.003","LS.MT.Territory2.003"
"0JBg8000000065RGAQ","001g800000EECNpAAP","0MIg80000001ibhGAA","LS.MT.Account.004","LS.MT.Territory2.003"
"0JBg8000000065SGAQ","001g800000EECNqAAP","0MIg80000001ibhGAA","LS.MT.Account.005","LS.MT.Territory2.003"
"0JBg8000000065TGAQ","001g800000EECNrAAP","0MIg80000001ibhGAA","LS.MT.Account.006","LS.MT.Territory2.003"
"0JBg8000000065UGAQ","001g800000EECNsAAP","0MIg80000001ibhGAA","LS.MT.Account.007","LS.MT.Territory2.003"
"0JBg8000000065VGAQ","001g800000EECNtAAP","0MIg80000001ibhGAA","LS.MT.Account.008","LS.MT.Territory2.003"
"0JBg8000000065WGAQ","001g800000EECNuAAP","0MIg80000001ibhGAA","LS.MT.Account.009","LS.MT.Territory2.003"
"0JBg8000000065XGAQ","001g800000EECNvAAP","0MIg80000001ibhGAA","LS.MT.Account.010","LS.MT.Territory2.003"
"0JBg8000000065YGAQ","001g800000EECNwAAP","0MIg80000001ibhGAA","LS.MT.Account.011","LS.MT.Territory2.003"
