"Id","AccountId","Territory2Id","External_ID__c","Advocacy_Score__c","RecommendedPresentationInfo","Account.External_ID__c","Territory2.External_ID__c"
"1Gxg8000000032oCAA","001g800000EECNpAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.013","#N/A","[{""presentationId"":""Aurora_In_Service"",""displayOrder"":1},{""presentationId"":""A_Head_to_Head_Study"",""displayOrder"":2}]","LS.MT.Account.004","LS.MT.Territory2.003"
"1Gxg800000000hiCAA","001g8000007pWFbAAM","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.007","#N/A","{ ""Data"": [ { ""Id"": ""1IGg800000000hcGAA"", ""Order"": 1 } ] }","LS.Account.2","LS.MT.Territory2.003"
"1Gxg800000000iXCAQ","001g8000007on07AAA","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.004","#N/A","{ ""Data"": [ { ""Id"": ""1IGg800000000hcGAA"", ""Order"": 1 } ] }","#N/A","LS.MT.Territory2.003"
"1Gxg800000000hkCAA","001g8000007pWFcAAM","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.006","#N/A","{ ""Data"": [ { ""Id"": ""1IGg800000000hcGAA"", ""Order"": 1 } ] }","LS.Account.75","LS.MT.Territory2.003"
"1Gxg800000000hjCAA","001g8000007pWFdAAM","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.002","#N/A","{ ""Data"": [ { ""Id"": ""1IGg800000000hcGAA"", ""Order"": 1 } ] }","LS.Account.66","LS.MT.Territory2.003"
"1Gxg8000000032mCAA","001g800000EECNvAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.011","#N/A","[{""presentationId"":""Aurora_In_Service"",""displayOrder"":1},{""presentationId"":""A_Head_to_Head_Study"",""displayOrder"":2}]","LS.MT.Account.010","LS.MT.Territory2.003"
"1Gxg8000000032lCAA","001g800000EECNuAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.010","#N/A","[{""presentationId"":""Aurora_In_Service"",""displayOrder"":1},{""presentationId"":""A_Head_to_Head_Study"",""displayOrder"":2},{""presentationId"":""Agentforce_Video"",""displayOrder"":3}]","LS.MT.Account.009","LS.MT.Territory2.003"
"1Gxg8000000032jCAA","001g800000EECNsAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.008","#N/A","[{""presentationId"":""Nimbus_IVL_In_Service"",""displayOrder"":1},{""presentationId"":""A_Head_to_Head_Study"",""displayOrder"":2},{""presentationId"":""Agentforce_Video"",""displayOrder"":3}]","LS.MT.Account.007","LS.MT.Territory2.003"
"1Gxg8000000032pCAA","001g800000EECNqAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.014","#N/A","[{""presentationId"":""Nimbus_IVL_In_Service"",""displayOrder"":1}]","LS.MT.Account.005","LS.MT.Territory2.003"
"1Gxg8000000032nCAA","001g800000EECNwAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.012","#N/A","[{""presentationId"":""Nimbus_IVL_In_Service"",""displayOrder"":1},{""presentationId"":""Aurora_In_Service"",""displayOrder"":2}]","LS.MT.Account.011","LS.MT.Territory2.003"
"1Gxg800000000iaCAA","001g8000007on0CAAQ","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.005","#N/A","{""Data"":[{""Id"":""1IGg800000000hcGAA"",""Order"":1,""Name"":""Aurora In-Service""},{""Id"":""1IGg800000000hdGAA"",""Order"":2,""Name"":""A Head to Head Study Comparing Immunexis vs. Rheumatrexate""},{""Id"":""1IGg800000001H3GAI"",""Order"":3,""Name"":""Agentforce Video""}]}","LS.Account.17","LS.MT.Territory2.003"
"1Gxg800000000iZCAQ","001g8000007pWFeAAM","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.003","#N/A","{ ""Data"": [ { ""Id"": ""1IGg800000000hcGAA"", ""Order"": 1 } ] }","LS.Account.71","LS.MT.Territory2.003"
"1Gxg8000000032kCAA","001g800000EECNtAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.009","#N/A","[{""presentationId"":""Aurora_In_Service"",""displayOrder"":1},{""presentationId"":""A_Head_to_Head_Study"",""displayOrder"":2}]","LS.MT.Account.008","LS.MT.Territory2.003"
"1Gxg8000000032qCAA","001g800000EECNrAAP","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.015","#N/A","[{""presentationId"":""Aurora_In_Service"",""displayOrder"":1}]","LS.MT.Account.006","LS.MT.Territory2.003"
"1Gxg800000000iYCAQ","001g8000007pWFaAAM","0MIg80000001ibhGAA","LS.MT.ProvAcctTerrInfo.001","#N/A","{""Data"":[{""Id"":""1IGg800000000hcGAA"",""Order"":1,""Name"":""Aurora In-Service""},{""Id"":""1IGg800000000hZGAQ"",""Order"":2,""Name"":""Introduction to Immunexis""},{""Id"":""1IGg800000000hdGAA"",""Order"":3,""Name"":""A Head to Head Study Comparing Immunexis vs. Rheumatrexate""}]}","LS.MT.Account.001","LS.MT.Territory2.003"
