"Id","Name","DeveloperName","External_ID__c","Territory2ModelId","ParentTerritory2Id","Description","Territory2Model.Name","ParentTerritory2.External_ID__c","Errors"
"0MIg80000004YPmGAM","DM - MedTech - Atlanta 20C01","DM_MT_Atlanta_20C01","LS.MT.Territory2.011","0MAg80000002KKQGA2","0MIg80000004YPjGAM","District Manager territory covering the Greater Atlanta metropolitan area.","LSC Territory Model","LS.MT.Territory2.010","#N/A"
"0MIg80000004YPkGAM","DM - MedTech - Minneapolis 20A01","DM_MT_Minneapolis_20A01","LS.MT.Territory2.005","0MAg80000002KKQGA2","0MIg80000004YPhGAM","District Manager territory covering the Minneapolis–Saint Paul metropolitan area and surrounding Allina Health network.","LSC Territory Model","LS.MT.Territory2.004","#N/A"
"0MIg80000004YPlGAM","DM - MedTech - New York 20B01","DM_MT_New_York_20B01","LS.MT.Territory2.008","0MAg80000002KKQGA2","0MIg80000004YPiGAM","District Manager territory covering the Greater New York metropolitan area.","LSC Territory Model","LS.MT.Territory2.007","#N/A"
"0MIg80000001idLGAQ","DM - MedTech - San Francisco 20D02","DM_MT_San_Francisco_20D02","LS.MT.Territory2.002","0MAg80000002KKQGA2","0MIg80000001icoGAA","The DM – San Francisco 20D02 territory encompasses the broader San Francisco metropolitan area, overseeing multiple sales districts within this region.","LSC Territory Model","LS.MT.Territory2.001","#N/A"
"0MIg80000004YPhGAM","RD - MedTech - Midwest 20A","RD_MT_Midwest_20A","LS.MT.Territory2.004","0MAg80000002KKQGA2","#N/A","Regional Director territory covering the MedTech Midwest region. Primary accounts: Allina Health network (Minneapolis–Saint Paul).","LSC Territory Model","#N/A","#N/A"
"0MIg80000004YPiGAM","RD - MedTech - Northeast 20B","RD_MT_Northeast_20B","LS.MT.Territory2.007","0MAg80000002KKQGA2","#N/A","Regional Director territory covering the MedTech Northeast region.","LSC Territory Model","#N/A","#N/A"
"0MIg80000004YPjGAM","RD - MedTech - Southeast 20C","RD_MT_Southeast_20C","LS.MT.Territory2.010","0MAg80000002KKQGA2","#N/A","Regional Director territory covering the MedTech Southeast region.","LSC Territory Model","#N/A","#N/A"
"0MIg80000001icoGAA","RD - MedTech - West 20D","RD_MT_West_20D","LS.MT.Territory2.001","0MAg80000002KKQGA2","#N/A","#N/A","LSC Territory Model","#N/A","#N/A"
"0MIg80000004YPpGAM","TM - MedTech - SPC - Atlanta Metro 20C01T01","TM_MT_SPC_Atlanta_Metro_20C01T01","LS.MT.Territory2.012","0MAg80000002KKQGA2","0MIg80000004YPmGAM","Territory Manager leaf territory covering the Atlanta metropolitan area.","LSC Territory Model","LS.MT.Territory2.011","#N/A"
"0MIg80000004YPnGAM","TM - MedTech - SPC - Minneapolis North 20A01T01","TM_MT_SPC_Minneapolis_North_20A01T01","LS.MT.Territory2.006","0MAg80000002KKQGA2","0MIg80000004YPkGAM","Territory Manager leaf territory covering northern Minneapolis–Saint Paul and surrounding suburbs. Primary Allina Health network territory.","LSC Territory Model","LS.MT.Territory2.005","#N/A"
"0MIg80000004YPoGAM","TM - MedTech - SPC - New York Metro 20B01T01","TM_MT_SPC_New_York_Metro_20B01T01","LS.MT.Territory2.009","0MAg80000002KKQGA2","0MIg80000004YPlGAM","Territory Manager leaf territory covering New York City and northern New Jersey.","LSC Territory Model","LS.MT.Territory2.008","#N/A"
"0MIg80000001ibhGAA","TM - MedTech - SPC - San Francisco North 20D02T11","TM_MT_SPC_San_Francisco_North_20D02T11","LS.MT.Territory2.003","0MAg80000002KKQGA2","0MIg80000001idLGAQ","This territory covers the northern region of San Francisco and surrounding areas, targeting HCPs and institutions relevant to the therapeutic portfolio of the company.","LSC Territory Model","LS.MT.Territory2.002","#N/A"
